Total GPM, Controllers , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1102.090, A-D400, A-D197, A-D398, A-D148, A-D142, A-D242, A-D131,B-D234, B-D57, B-D410, B-D382, B-D50, B-D11, B-D55, B-D49, B-D430, B-D235, B-D236, B-D438, B-D421, B-D20, B-D439, B-D420, B-D123, B-D122,C-D102, C-D68, C-D145, C-D83, C-D391, C-D108, C-D73, C-D434, C-D433, C-D66, C-D431,D-D323, D-D357, D-D353, D-D337, D-D329, D-D318, D-D351, D-D326, D-D372, D-D307, D-D320, D-D315,E-D282, E-D295, E-D266, E-D381, E-D375, E-D280, E-D279, E-D278, E-D248, E-D287, E-D251, E-D250, E-D263, , , , , , , , 
, 21.200, 20.750, 19.900, 19.300, 18.600, 15.900, 10.800,20.300, 20.100, 20.200, 20.000, 19.400, 19.800, 18.200, 18.400, 18.800, 17.200, 16.400, 16.300, 16.300, 15.900, 15.800, 15.200, 10.800, 10.800,22.700, 22.400, 22.000, 21.400, 19.600, 19.700, 19.400, 19.600, 18.500, 17.400, 17.600,22.600, 21.600, 22.000, 21.600, 21.700, 21.350, 20.800, 20.300, 19.260, 19.200, 18.600, 15.400,22.770, 21.900, 21.800, 19.600, 16.680, 16.640, 16.640, 16.320, 14.000, 11.000, 8.340, 8.340, 7.000, , , , , , , , 
1102.220, A-D198, A-D190, A-D130, A-D401, A-D238, A-D179, A-D146,B-D13, B-D121, B-D119, B-D10, B-D429, B-D417,C-D219, C-D64, C-D06, C-D441, C-D109, C-D88,D-D370, D-D368, D-D348, D-D316, D-D302,E-D380, E-D286, E-D270, E-D268, E-D249, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 38.820, 38.800, 38.700, 37.240, 37.200, 37.600, 37.800,38.500, 37.300, 37.400, 37.900, 37.200, 37.200,38.400, 38.100, 39.000, 39.000, 37.300, 37.700,39.000, 39.000, 38.500, 37.500, 37.400,38.560, 38.000, 37.600, 37.500, 38.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1103.850, A-D203, A-D191, A-D184, A-D163, A-D159, A-D397, A-D209, A-D202, A-D166, A-D240,B-D227, B-D118, B-D31, B-D419, B-D424,C-D392, C-D389,D-D319, D-D317, D-D309, D-D344, D-D306,E-D297, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 48.700, 48.580, 48.340, 48.680, 48.200, 47.740, 47.290, 47.800, 47.750, 46.570,47.100, 47.100, 47.500, 47.400, 46.600,48.700, 48.100,48.790, 48.910, 49.000, 48.000, 48.000,49.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1106.780, A-D164, A-D206, A-D154, A-D204, A-D158, A-D128,B-D224, B-D53, B-D41, B-D12, B-D412, B-D33,C-D87, C-D446, C-D440, C-D399, C-D386, C-D385, C-D104, C-D95, C-D71, C-D70, C-D447, C-D445, C-D136, C-D65, C-D426,D-D369, D-D331, D-D301, D-D354, D-D349, D-D338,E-D283, E-D272, E-D260, E-D300, E-D254, E-D376, E-D269, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 28.370, 27.610, 27.970, 26.920, 26.270, 26.700,27.800, 27.800, 27.100, 27.270, 27.100, 27.000,28.100, 28.700, 28.800, 27.800, 28.000, 27.100, 27.600, 27.400, 27.200, 27.700, 27.860, 27.500, 26.600, 27.000, 26.900,29.000, 28.900, 28.600, 28.000, 28.000, 27.500,28.980, 28.700, 28.800, 27.450, 27.300, 26.380, 27.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1107.500, A-D139, A-D210, A-D183, A-D189, A-D178, A-D172, A-D124,B-D24, B-D402, B-D56, B-D416, B-D406, B-D47, B-D08, B-D428, B-D407, B-D232, B-D223, B-D22,C-D112, C-D99, C-D75, C-D04, C-D427, C-D393, C-D134, C-D444, C-D396, C-D220, C-D92, C-D81, C-D74, C-D01, C-D432, C-D383,D-D322, D-D311, D-D363, D-D332,E-D288, E-D271, E-D252, E-D298, E-D277, E-D378, E-D274, , , , , , , , , , , , , , , , , , , , , , , 
, 25.400, 24.360, 24.370, 22.400, 22.600, 22.940, 22.400,25.400, 24.700, 24.400, 24.500, 24.400, 23.200, 23.600, 23.600, 23.100, 22.100, 22.900, 22.800,25.500, 25.400, 25.400, 25.500, 25.800, 24.400, 24.900, 25.000, 23.700, 23.200, 23.200, 24.000, 23.900, 24.000, 23.400, 22.500,25.100, 25.200, 23.400, 22.300,25.150, 25.200, 25.900, 24.480, 25.000, 23.600, 23.200, , , , , , , , , , , , , , , , , , , , , , , 
